"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Sticker taps","Link clicks",Follows
17855496744472972,17841401475580469,nicki.entenmann,"Nicki Entenmann","Last day to enter sneak gifting ❤️
I love doing these to give back to all of you
I truly have the best job in the world, and that’s because I have the best girls here",0,"07/24/2025 12:14",,"IG story",,Lifetime,19734,16343,304,8,17,2367,18939,,,
18106958305539080,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s giving cashmere without the cashmere price!  I knowwww it’s hot as balls but I’m not buying summer items, cleaning my closet  I’m in size s (runs big)",54,"07/24/2025 12:43",,"IG story",,Lifetime,19413,16175,96,0,13,16,18338,,412,
17891974383275674,17841401475580469,nicki.entenmann,"Nicki Entenmann","Size S",49,"07/24/2025 12:43",,"IG story",,Lifetime,18135,15854,69,1,3,4,17311,,251,
18038854139669092,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m in M
Tons of colors
Fun neckline",46,"07/24/2025 12:43",,"IG story",,Lifetime,18150,15729,90,0,3,7,16949,,614,
18053882057575513,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m in S (runs big)",51,"07/24/2025 12:43",,"IG story",,Lifetime,17673,15363,50,1,8,5,16776,,395,
17890523472289628,17841401475580469,nicki.entenmann,"Nicki Entenmann","Got these as well- size S",0,"07/24/2025 12:44",,"IG story",,Lifetime,18575,16587,51,0,15,3,17117,,217,
18050411009396419,17841401475580469,nicki.entenmann,"Nicki Entenmann","7 weeks in a cast
1 week in wheelchair 
6 weeks on granny walker
6 weeks in a boot
1 year of X-rays 
And 6 months of PT

BUTTTT Sweet P’s ankle bones FINALLY look amazing-no hairline closures, growth plates & lines look great, and no need for surgery! We are finally done with ortho! 

Praise Jesus!!!!

And the Entenmann family will NEVER EVERRR see the inside of a SkyZone again 
😒😒",0,"07/24/2025 14:15",,"IG story",,Lifetime,19908,15818,248,4,15,55,17120,,,
17970166541920013,17841401475580469,nicki.entenmann,"Nicki Entenmann","Between today’s sweatshirt share and the Christmastok, I think we know what I’m ready for 🏈🍂🎄🎅🏼",10,"07/24/2025 15:46",,"IG story",,Lifetime,18321,14989,176,32,7,24,17862,,,
18023011493711549,17841401475580469,nicki.entenmann,"Nicki Entenmann","Favorite for slicked buns 
Under $15 and has lasted me over a year",40,"07/24/2025 16:23",,"IG story",,Lifetime,16990,15252,41,4,5,5,15030,,226,
17968169249782706,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ohhhh MY GAHHH",17,"07/24/2025 16:28",,"IG story",,Lifetime,14970,14066,29,0,5,1,13375,,,
18068535866143960,17841401475580469,nicki.entenmann,"Nicki Entenmann","Under $10 and actually SLAYS",59,"07/24/2025 16:31",,"IG story",,Lifetime,16537,14367,31,3,19,10,14121,,766,
18081085486865324,17841401475580469,nicki.entenmann,"Nicki Entenmann",,15,"07/25/2025 08:22",,"IG story",,Lifetime,9973,8927,89,0,17,7,9429,,,
18101488579575813,17841401475580469,nicki.entenmann,"Nicki Entenmann",,41,"07/25/2025 11:29",,"IG story",,Lifetime,9803,8919,45,1,8,7,8006,,,
18046618124284431,17841401475580469,nicki.entenmann,"Nicki Entenmann","Just saw my girls are 30% off  Under $25 and I use them constantly!!!! Under workout tanks, swimsuits, dresses, tops. Grips to your body- 
Just wash and reuse forever",59,"07/25/2025 11:33",,"IG story",,Lifetime,9392,8652,27,0,1,3,8725,,213,
18072934132988766,17841401475580469,nicki.entenmann,"Nicki Entenmann","Tomorrow at 930 am if you can make it!",47,"07/25/2025 11:37",,"IG story",,Lifetime,9210,8509,35,4,2,5,8889,,34,1
17894677473146120,17841401475580469,nicki.entenmann,"Nicki Entenmann","Free sample pack here!  LEMONADE IS HEAVEN @drinklmnt",60,"07/25/2025 11:52",https://instagram.com/stories/nicki.entenmann/3684692589447147756,"IG story",,Lifetime,10355,9137,33,2,3,10,8625,,61,
18023430695705883,17841401475580469,nicki.entenmann,"Nicki Entenmann","If I could only choose one supplement for the rest of my life, it’s electrolytes. 

Everyone benefits from them-
My kids take them vs the sports drink which is basically giving them a snickers 😒  @drinklmnt",59,"07/25/2025 11:52",https://instagram.com/stories/nicki.entenmann/3684692087867116132,"IG story",,Lifetime,10170,9160,25,0,4,7,8680,,39,
17871602913306219,17841401475580469,nicki.entenmann,"Nicki Entenmann",,28,"07/25/2025 13:02",,"IG story",,Lifetime,10310,9394,79,0,2,20,9297,,,
18092836162649735,17841401475580469,nicki.entenmann,"Nicki Entenmann","And Some chin up family fun 😵‍💫",57,"07/25/2025 13:04",,"IG story",,Lifetime,10043,9177,70,0,4,17,9118,,,
18105541993557547,17841401475580469,nicki.entenmann,"Nicki Entenmann","Under $20
Padding and good support!  @target",0,"07/25/2025 13:14",,"IG story",,Lifetime,10057,9212,26,0,3,0,9554,,248,
18024127001512199,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/25/2025 13:14",,"IG story",,Lifetime,9804,9137,16,0,2,3,9495,,160,
17954683523839757,17841401475580469,nicki.entenmann,"Nicki Entenmann","25g protein 
26 vitamins & minerals
6g fiber 
85+ superfoods, nutrient and plant based ingredients  @kachava #kachavapartner  NICKI for 15% off your order",59,"07/25/2025 14:05",,"IG story",,Lifetime,9532,8740,18,3,9,0,9273,,57,
17994761627811682,17841401475580469,nicki.entenmann,"Nicki Entenmann","One of my favorite dresses I’ve had for years and still reach for it all the time Instagram…..",0,"07/27/2025 08:29",,"IG story",,Lifetime,25165,19548,148,0,45,21,22203,,846,1
18089855509663286,17841401475580469,nicki.entenmann,"Nicki Entenmann","G morning to everyone but Hugo spritz Reality",0,"07/27/2025 08:30",,"IG story",,Lifetime,23255,18077,85,2,11,22,22466,,,
18050758961621902,17841401475580469,nicki.entenmann,"Nicki Entenmann","LOVE this brow gel 
Under $10 Our hair wax stick is on sale!  Blinding white teeth It’s giving Lulu PRISON if you haven’t tried these",0,"07/27/2025 08:51",,"IG story",,Lifetime,21401,16901,25,0,13,1,19639,,361,
18096205399721663,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/27/2025 08:51",,"IG story",,Lifetime,20479,16592,26,0,4,1,19656,,333,
18171510031351127,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/27/2025 08:51",,"IG story",,Lifetime,19080,16122,23,2,11,0,18376,,234,
17982056579850840,17841401475580469,nicki.entenmann,"Nicki Entenmann","Another 
athleisure
 purge",0,"07/27/2025 10:27",,"IG story",,Lifetime,17697,14323,88,0,18,33,17132,,,
17854976445479351,17841401475580469,nicki.entenmann,"Nicki Entenmann","S in both
Under $20",55,"07/27/2025 12:41",,"IG story",,Lifetime,17462,14870,48,2,16,2,16487,,271,1
17933537945949152,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s giving Lulu 
on target budget",34,"07/27/2025 12:41",,"IG story",,Lifetime,16405,14393,44,1,6,3,15722,,239,
17848419837492421,17841401475580469,nicki.entenmann,"Nicki Entenmann","The color is SOOO rich and stunning! Great compression 
S in both",47,"07/27/2025 12:41",,"IG story",,Lifetime,15943,14074,49,1,4,2,15485,,218,
18394581097140599,17841401475580469,nicki.entenmann,"Nicki Entenmann","10000/10 recommend for high impact. (I sized down 1 for even more compression) it’s great for big yit girls too",51,"07/27/2025 12:41",,"IG story",,Lifetime,16050,13906,31,3,4,2,15341,,466,
18061857944254734,17841401475580469,nicki.entenmann,"Nicki Entenmann","The debate of 
the weekend!!!",0,"07/27/2025 12:49",,"IG story",,Lifetime,17929,13948,36,0,13,42,15673,,,
17866071918428460,17841401475580469,nicki.entenmann,"Nicki Entenmann","These are crack (Got at Whole Foods)",0,"07/27/2025 13:18",,"IG story",,Lifetime,18236,13967,41,1,14,4,17871,,,
18074883937789961,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/27/2025 14:44",,"IG story",,Lifetime,17025,14588,29,0,13,0,16368,,87,
18072867170068612,17841401475580469,nicki.entenmann,"Nicki Entenmann",Rich.,34,"07/27/2025 18:01",,"IG story",,Lifetime,17527,15621,120,0,21,2,16774,,,
18074789807070781,17841401475580469,nicki.entenmann,"Nicki Entenmann","All 9 essential amino acids 
These building blocks of protein can help you naturally boost energy, build lean muscle, enhance athletic recovery, and so much more

I love berry!  #kionpartner",0,"07/27/2025 19:05",https://instagram.com/stories/nicki.entenmann/3686359835420590604,"IG story",,Lifetime,18959,16202,33,3,2,11,17084,,184,
17915679456029845,17841401475580469,nicki.entenmann,"Nicki Entenmann","This is Ty’s!  This is mine!  @myhumehealth  Code NICKI for up to 50% off 
(HSA/FSA eligible)",0,"07/27/2025 19:11",,"IG story",,Lifetime,19349,15744,31,5,10,6,17431,10,552,
18037825754392258,17841401475580469,nicki.entenmann,"Nicki Entenmann","me rn",5,"07/27/2025 20:03",,"IG story",,Lifetime,18878,15200,85,13,11,51,14784,,,
17941271334029333,17841401475580469,nicki.entenmann,"Nicki Entenmann","Dm to claim!! Sneaker
Winner
@christiepoppe",0,"07/28/2025 07:26",,"IG story",,Lifetime,20927,17973,273,0,12,23,20069,,,
18151856575377944,17841401475580469,nicki.entenmann,"Nicki Entenmann","We went back to school shopping yesterday and it was $$$ so I want to 
gift 2 of you $150 this week for back to school supplies! 

Comment “school” here",5,"07/28/2025 07:28",,"IG story",,Lifetime,31643,25642,427,11,37,4433,24537,,,2
18131791264442597,17841401475580469,nicki.entenmann,"Nicki Entenmann","@typologyparis #typologyparispartner",45,"07/28/2025 08:09",,"IG story",,Lifetime,29313,24103,171,0,23,62,27535,12,,
18045678626302679,17841401475580469,nicki.entenmann,"Nicki Entenmann","@typologyparis #ad  It’s not makeup, it’s tinted skincare 
Has helped my skin breath but I still can have some coverage so I do a few days a week to keep my acne away",54,"07/28/2025 08:11",,"IG story",,Lifetime,25686,22693,80,1,6,13,23853,6,380,
18068476475134867,17841401475580469,nicki.entenmann,"Nicki Entenmann","I love for the gym!!!!
Look good, feel good, PR squats right ?! 😏 @typologyparis #ad",53,"07/28/2025 08:13",,"IG story",,Lifetime,24555,21914,68,0,12,6,23199,7,313,
18074825818970647,17841401475580469,nicki.entenmann,"Nicki Entenmann","Use this link and receive a free even complexion serum with 12% niacinamide with your purchase of $40 or more @typologyparis #typologyparispartner",43,"07/28/2025 08:16",,"IG story",,Lifetime,23806,21215,66,1,8,5,22916,14,296,
17997968939649686,17841401475580469,nicki.entenmann,"Nicki Entenmann","@typologyparis #typologyparispartner",0,"07/28/2025 08:17",,"IG story",,Lifetime,23935,20849,134,0,11,32,22790,14,498,
18029473973651004,17841401475580469,nicki.entenmann,"Nicki Entenmann","50NICKI for 50% off first order  Iron is the #1 deficiency in 
kids so we take the Daily Iron+  @hiyahealth #hiyapartner  Clean ingredients
No added sugar
One chewable pill a day
Reusable glass bottles 
Dairy & gluten free
Can start taking at ages 2+",0,"07/28/2025 11:10",,"IG story",,Lifetime,23309,20376,41,1,9,2,22371,,81,1
17849614224518614,17841401475580469,nicki.entenmann,"Nicki Entenmann","$20 $20 $25 $20 $20 Favorite sports bra I own  A lot is on sale still!",0,"07/28/2025 11:45",,"IG story",,Lifetime,24369,20523,91,3,10,5,22971,,514,
17914042587171595,17841401475580469,nicki.entenmann,"Nicki Entenmann","Forgot how hard the dirty dozen is 🥵🥵🥵",53,"07/28/2025 12:32",,"IG story",,Lifetime,23513,20105,124,4,18,37,22164,,,
17849895768516577,17841401475580469,nicki.entenmann,"Nicki Entenmann","Daily pull-ups 
 
4 wide 
3 narrow 
2 wide 
1 narrow",34,"07/28/2025 12:32",,"IG story",,Lifetime,22434,19784,155,1,5,39,20254,,,
18124882279414670,17841401475580469,nicki.entenmann,"Nicki Entenmann",,58,"07/28/2025 12:49",,"IG story",,Lifetime,22373,19652,137,3,17,16,18401,,,
18051868826169577,17841401475580469,nicki.entenmann,"Nicki Entenmann",,57,"07/28/2025 12:55",,"IG story",,Lifetime,21754,19119,107,6,12,23,18881,,,
17881896861357176,17841401475580469,nicki.entenmann,"Nicki Entenmann","I take 5g everyday. 
So much more than muscle recovery for women!",0,"07/28/2025 13:07",https://instagram.com/stories/nicki.entenmann/3686904136706256948,"IG story",,Lifetime,23942,19758,77,4,10,28,21013,,348,
17911401684170748,17841401475580469,nicki.entenmann,"Nicki Entenmann","Merit is makeup. (And my favorite makeup ever)

Typology is tinted skincare (think serums to even complexion while providing skincare benefits) 

I use both differently every week! 
If Im going to the gym and will sweat a lot, having bad breakouts, want my skin to really breath, pool, etc and have light coverage I do typology 

If im wanting to wear makeup and have more coverage, recording videos, go out, lots of color, cover zits, I do merit! 

I also build merit products on top of typology 
(I’ll add merit blush for a touch of color on top of tinted slincare) 

Both are amazing and work better for people depending on their goals, looks and lifestyle!",0,"07/28/2025 15:46",,"IG story",,Lifetime,24747,19317,80,0,11,5,21778,,,1
18352553482084654,17841401475580469,nicki.entenmann,"Nicki Entenmann","Just found a pottery barn look alike for P and  it was under $20!",8,"07/28/2025 15:51",,"IG story",,Lifetime,24529,19162,37,6,7,3,22306,,412,
17918089221110885,17841401475580469,nicki.entenmann,"Nicki Entenmann","20% off school lunch items 
(Water bottles, lunch boxes, snack pouches, etc)  I’m over here having a hay day finishing school shopping!!",5,"07/28/2025 15:53",,"IG story",,Lifetime,23258,18775,51,0,1,1,20305,,795,
18058433570595438,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/28/2025 15:55",,"IG story",,Lifetime,22979,18559,40,1,24,21,21739,,,
17916589377113672,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/29/2025 06:19",,"IG story",,Lifetime,17947,15165,83,1,33,6,16893,,,1
17973504530873519,17841401475580469,nicki.entenmann,"Nicki Entenmann",,47,"07/29/2025 10:58",,"IG story",,Lifetime,17474,14466,211,15,23,92,12608,,,
18018078638739284,17841401475580469,nicki.entenmann,"Nicki Entenmann",,47,"07/29/2025 13:20",,"IG story",,Lifetime,17418,15254,78,0,27,11,14312,,,
18018649256746452,17841401475580469,nicki.entenmann,"Nicki Entenmann","My 2025 heart in a single post ❤️",15,"07/29/2025 13:35",,"IG story",,Lifetime,17598,14694,168,1,14,16,13152,,,
18091207927596563,17841401475580469,nicki.entenmann,"Nicki Entenmann","Changing is the entire point. 
Leaving those who no longer served me was the point. 
Healing is the entire point.",60,"07/29/2025 13:39",,"IG story",,Lifetime,16738,14425,175,0,27,16,14647,,,
17937675486025312,17841401475580469,nicki.entenmann,"Nicki Entenmann","No. Being fit isn’t the most important thing in my life but it WAS the start to having the confidence to improve other aspects of my life",54,"07/29/2025 13:39",,"IG story",,Lifetime,15506,13903,125,0,19,11,13744,,,
17986598747697379,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI50 for $50 off ends Thursday",60,"07/29/2025 13:39",,"IG story",,Lifetime,15183,13686,62,0,12,9,14166,,107,
17933549574073028,17841401475580469,nicki.entenmann,"Nicki Entenmann","Side note: saw a LOT of cute workout fits at target today",0,"07/29/2025 13:51",,"IG story",,Lifetime,12666,11137,33,1,5,0,11946,,67,
18028703300686805,17841401475580469,nicki.entenmann,"Nicki Entenmann","I told you how obsessed I am with their sports
 bras-I bought 3 more 
 (a lot were on sale too)",0,"07/29/2025 13:51",,"IG story",,Lifetime,16206,13676,29,0,3,3,14928,,446,
18375749857122331,17841401475580469,nicki.entenmann,"Nicki Entenmann","Would work 10/10 times for me",15,"07/29/2025 13:53",,"IG story",,Lifetime,15777,13518,112,34,5,44,15363,,,
17868828177420311,17841401475580469,nicki.entenmann,"Nicki Entenmann","All. Of. This. 👏🏼👏🏼👏🏼
Worth listening to the whole damn thing",52,"07/29/2025 14:11",,"IG story",,Lifetime,17535,13691,229,6,7,21,15885,,,
18047744009548910,17841401475580469,nicki.entenmann,"Nicki Entenmann","@colleenrothschild #crpartner  The best toning pads I’ve ever used as an acne prone girl and it’s not even close. 
One container lasts me 4 months",58,"07/29/2025 14:26",,"IG story",,Lifetime,16849,13540,29,3,5,1,16387,5,242,
18070660720874069,17841401475580469,nicki.entenmann,"Nicki Entenmann","No code needed! 25% off here 
PRISON if gou haven’t tried @colleenrothschild products  @colleenrothschild #crpartner",53,"07/29/2025 14:27",,"IG story",,Lifetime,14582,13184,19,5,5,3,14100,28,112,
18067735313170379,17841401475580469,nicki.entenmann,"Nicki Entenmann","30% off with code NICKIENT
(Makes it $7 😍)

Razor handle
2 blades 
Magnetic hook @athenaclub #athenaclubpartner  Also if you want silkyyyy, sexaayyyy legs and the best shave of your life with no razor burn…….thank me lataaa",0,"07/29/2025 14:30",,"IG story",,Lifetime,14437,12988,31,0,7,2,13784,,70,
18034858556452961,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/29/2025 14:43",,"IG story",,Lifetime,11011,10028,14,0,4,0,10666,,94,
18049715582553749,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/29/2025 14:43",,"IG story",,Lifetime,10742,9887,10,0,,0,10495,,59,
18107380189529327,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/29/2025 14:43",,"IG story",,Lifetime,10540,9812,12,0,,0,10317,,39,
17922504783010386,17841401475580469,nicki.entenmann,"Nicki Entenmann","LOVE that jansport is trendy again 💅🏼",0,"07/29/2025 14:43",,"IG story",,Lifetime,11030,9755,30,2,5,6,10766,,99,
17954032304847056,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/29/2025 14:43",,"IG story",,Lifetime,11054,9580,13,0,15,0,10951,,59,
18045726644295999,17841401475580469,nicki.entenmann,"Nicki Entenmann","Tonight we had a pool bday party for P with store bought cupcakes, cookies, pizza, no decorations, paper plates and a few friends. 

And she told me it was the ‘best night of her life’ 🥹

A reminder to anyone that feels the social media pressure that their kids bday parties aren’t good enough . 

The magic is in the memories ❤️",0,"07/29/2025 19:45",,"IG story",,Lifetime,28117,22160,750,10,41,87,24184,,,1
18090183115664730,17841401475580469,nicki.entenmann,"Nicki Entenmann","Am I a fun sucker mom? 😂",60,"07/30/2025 09:51",,"IG story",,Lifetime,34628,27997,86,3,30,103,27505,,,1
17903244927235460,17841401475580469,nicki.entenmann,"Nicki Entenmann",,60,"07/30/2025 09:55",,"IG story",,Lifetime,30398,26199,145,2,54,70,26411,,,
18061634822245777,17841401475580469,nicki.entenmann,"Nicki Entenmann","Weekly gifting happening still!! I want to give you babes back to school money!",0,"07/30/2025 10:37",,"IG story",,Lifetime,29773,25751,426,14,57,3850,27400,,,2
18065732492469671,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI30 for 30% off first subscription  @dosedaily.co #dosepartner",60,"07/30/2025 11:42",,"IG story",,Lifetime,27286,24221,86,4,23,10,26489,2,57,
18052538276414458,17841401475580469,nicki.entenmann,"Nicki Entenmann","@dosedaily.co #dosepartner",0,"07/30/2025 11:42",,"IG story",,Lifetime,26638,23716,64,4,14,8,25034,2,178,1
18053658266151052,17841401475580469,nicki.entenmann,"Nicki Entenmann","Had to repost my reel cuz there were 2 audios going sorryyyyyyy 😒",0,"07/30/2025 11:46",,"IG story",,Lifetime,25799,22477,87,0,16,13,24979,,,
18092475400641440,17841401475580469,nicki.entenmann,"Nicki Entenmann","This one 😍😍😍",15,"07/30/2025 11:46",,"IG story",,Lifetime,26495,22133,156,0,42,14,21377,,,
18071629916009652,17841401475580469,nicki.entenmann,"Nicki Entenmann","Girlhood 🥹❤️🍕",0,"07/30/2025 11:55",,"IG story",,Lifetime,24643,21869,139,0,28,6,23576,134,,
18103074934561051,17841401475580469,nicki.entenmann,"Nicki Entenmann","If we’re training for another @hyroxamerica , we better be besties with the rower",18,"07/30/2025 12:53",,"IG story",,Lifetime,23883,21214,144,2,11,37,21222,202,,
18337987195165515,17841401475580469,nicki.entenmann,"Nicki Entenmann","Full body day 💅🏼🙌🏻
I have zero energy for this today 
Discipline > motivation",40,"07/30/2025 12:53",,"IG story",,Lifetime,22987,20879,163,3,11,28,21693,,,
17986952462699970,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m in size S here",47,"07/30/2025 13:09",,"IG story",,Lifetime,21879,19672,81,0,7,4,20770,,319,
18377901817122901,17841401475580469,nicki.entenmann,"Nicki Entenmann","LOVE the cut and color
 of this. I’m in S",53,"07/30/2025 13:09",,"IG story",,Lifetime,21818,19990,65,2,8,8,21124,,301,
17865152313430579,17841401475580469,nicki.entenmann,"Nicki Entenmann","Has built in bra 🙌🏻
I’m in S",50,"07/30/2025 13:09",,"IG story",,Lifetime,21403,19604,55,1,7,6,20612,,386,
18072322961003580,17841401475580469,nicki.entenmann,"Nicki Entenmann","Another built in bra
Plunge neck
Thick strap 
I’m in M",50,"07/30/2025 13:09",,"IG story",,Lifetime,20840,19193,52,0,14,4,20386,,160,
18051462062621551,17841401475580469,nicki.entenmann,"Nicki Entenmann","Code NICKI for 20% off  @activeskinrepair #activepartner  This stuff is MAGIC!!!! Favorite mom purchase this summer 

Multi purpose-
Spray on Burns, scrapes,  minor cuts, rashes, 
bug bites, chafing sports equipment, face, red light mask-
I use it on everything!!!

Non toxic-All natural 

No sting 

HSA/FSA approved 

90 day money back guarantee",0,"07/30/2025 14:14",,"IG story",,Lifetime,21723,19118,55,7,24,5,20669,,188,1
18090800500660547,17841401475580469,nicki.entenmann,"Nicki Entenmann",😬😬😬😬😬,0,"07/30/2025 16:07",,"IG story",,Lifetime,23215,19362,357,1,9,96,20941,,,
17846650227511271,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"07/30/2025 16:07",,"IG story",,Lifetime,22957,19050,259,3,11,41,21671,,,
18101575120572772,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI50 expires tomorrow!!!!",0,"07/30/2025 16:07",,"IG story",,Lifetime,21871,18608,70,1,43,15,20897,,378,
18052013795563007,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s fine, I’m fine.",5,"07/31/2025 07:20",,"IG story",,Lifetime,16211,14237,74,4,23,26,14144,,,
18063143984001534,17841401475580469,nicki.entenmann,"Nicki Entenmann",,41,"07/31/2025 09:02",,"IG story",,Lifetime,14984,13184,45,1,10,3,13263,,,
17943436418899092,17841401475580469,nicki.entenmann,"Nicki Entenmann","Super clean tinted skincare with light coverage-
It’s not makeup but buildable enough if you want to add makeup on top
I love for days around tire house, gym, when I have breakouts  @typologyparis #typologyparispartner",53,"07/31/2025 09:06",,"IG story",,Lifetime,14251,12849,25,0,7,3,13233,2,127,
17899122438252424,17841401475580469,nicki.entenmann,"Nicki Entenmann","If you need a little more coverage 
(I use in zits & melasma) 

Use this link to receive a free even complexion serum with 12% niacinamide with your purchase of $40 or more- @typologyparis #typologyparispartner",60,"07/31/2025 09:09",,"IG story",,Lifetime,13949,12550,24,0,2,1,13341,,114,
18047468501551516,17841401475580469,nicki.entenmann,"Nicki Entenmann","Glow drops
Tinted serum-shade 2
Concealer- shade 2
Lip oil- plum purple 

 Light, simple, evens complexion with skincare benefits
True “no makeup” look @typologyparis #typologyparispartner",0,"07/31/2025 09:11",,"IG story",,Lifetime,14146,12437,45,0,10,5,13494,,145,
18090782926661325,17841401475580469,nicki.entenmann,"Nicki Entenmann","Haven’t been home since 8 am 😵‍💫
Packed everyone’s lunches but mine 

Mini Qdoba bowl FTW

Rice
Chicken (double helping)
Salsa
Onions 
Jalapeños
Little sour cream",0,"07/31/2025 12:24",,"IG story",,Lifetime,16585,13333,57,0,3,3,14724,,,
17913233856171842,17841401475580469,nicki.entenmann,"Nicki Entenmann","I have tried a million brow gels and this one is amazingggggg-gives you hold and grip without a whist cast or crunch 

100/10 recommend 
$9 on amazon",0,"07/31/2025 13:17",,"IG story",,Lifetime,16981,13152,31,0,4,3,15405,,1017,
18066639215472115,17841401475580469,nicki.entenmann,"Nicki Entenmann","AZ queens-going to Scottsdale next week with the kids and it’ll be hotter than Satans butthole so please help me find things to do outside of the pool!",5,"07/31/2025 13:27",,"IG story",,Lifetime,15653,12913,22,0,2,16,13718,,,
18085345831816220,17841401475580469,nicki.entenmann,"Nicki Entenmann","God is testing meeeee 😒",59,"07/31/2025 13:46",,"IG story",,Lifetime,15033,12273,42,1,4,8,12474,,,
18045536114310502,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s not final call for my round starting Monday but IT IS final call for my $50 off code-it expires tonight",57,"07/31/2025 13:48",,"IG story",,Lifetime,13429,12085,33,0,4,8,12721,,32,
18053682635615058,17841401475580469,nicki.entenmann,"Nicki Entenmann","Last summer vs this",57,"07/31/2025 13:49",,"IG story",,Lifetime,13214,11850,32,0,2,9,12768,,68,
18064917521178878,17841401475580469,nicki.entenmann,"Nicki Entenmann","Free sample pack with purchase",41,"07/31/2025 13:51",,"IG story",,Lifetime,13288,11935,32,0,7,2,12885,,49,
